property_id,lon,lat,fips_code,is_new_construction,is_contingent,is_price_reduced,is_foreclosure,is_plan,is_coming_soon,year_built,lot_sqft,sqft,baths,garage,stories,beds,list_price,encoded_city,encoded_type,central_air,laundry_room,community_outdoor_space,fireplace,dishwasher,recreation_facilities,central_heat,forced_air,shopping,hardwood_floors,basement,family_room,view,dining_room,washer_dryer,community_security_features,community_swimming_pool,floor_plan,updated_kitchen,city_view,swimming_pool,pets_allowed,park,modern_kitchen,ensuite,fenced_yard,open_floor_plan,rental_property,corner_lot,community_clubhouse,big_lot,den_or_office,carport,groundscare,hill_or_mountain_view,spa_or_hot_tub,big_yard,farm,high_ceiling,new_roof,views,master_bedroom,water_view,vaulted_ceiling,ranch,trails,cul_de_sac,clubhouse,tennis_court,master_suite
1405307330.0,-117.120004,33.612198,6065.0,,,,,,,11.0,7405.0,3114.0,3.0,3.0,2.0,5.0,774900.0,317,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1406865714.0,-111.851849,33.319086,4013.0,,,,,,,62.0,7976.0,1333.0,2.0,,1.0,3.0,450000.0,66,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1407305077.0,-119.240151,34.190521,6111.0,,,,,,,13.0,6250.0,2583.0,5.0,3.0,3.0,3.0,1495000.0,364,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1407566275.0,-123.062902,44.963604,41053.0,,,,,,,8.0,13068.0,3283.0,3.0,2.0,,4.0,709900.0,426,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1407956393.0,-111.85678,33.297913,4013.0,,,,,,,17.0,9800.0,4695.0,4.5,3.0,2.0,5.0,1095000.0,66,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1408200439.0,-121.527414,38.650259,6067.0,,,,,,,2.0,1376.0,1394.0,2.5,2.0,2.0,3.0,465000.0,421,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1408456196.0,-117.908991,34.027906,6037.0,,,,,,,53.0,5525.0,2125.0,3.0,2.0,2.0,5.0,850000.0,514,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1410164010.0,-111.767383,33.407072,4013.0,,,,,,,40.0,1352.0,1206.0,2.0,1.0,1.0,2.0,349000.0,290,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1410993949.0,-121.374817,38.440804,6067.0,,,,,,,25.0,4500.0,1108.0,2.0,2.0,1.0,3.0,467500.0,143,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1411109324.0,-118.017746,34.08133,6037.0,,1.0,,,,,37.0,49902.0,1438.0,2.5,2.0,2.0,3.0,608000.0,137,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1411903769.0,-117.338825,33.204204,6073.0,,,,,,,44.0,452832.0,578.0,1.0,,1.0,1.0,310000.0,352,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1412242923.0,-105.115548,39.69852,8059.0,,,,,,,38.0,,1048.0,2.0,1.0,1.0,2.0,370000.0,254,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1414383407.0,-118.103471,33.89086,6037.0,,,,,,,72.0,5501.0,1284.0,2.0,,1.0,5.0,680000.0,348,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1414646898.0,-118.184261,34.608222,6037.0,,,,,,,32.0,6680.0,1600.0,2.0,3.0,1.0,4.0,575000.0,366,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1414908341.0,-121.313989,38.003031,6077.0,,,,,,,67.0,8398.0,1140.0,1.0,2.0,1.0,3.0,379999.0,465,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1415036922.0,-111.799287,33.317149,4013.0,,,,,,,3.0,59272.0,6156.0,6.5,5.0,1.0,6.0,4000000.0,178,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1415649255.0,-116.328433,43.536974,16001.0,,,,,,,49.0,20038.0,2440.0,3.0,2.0,2.0,5.0,575000.0,38,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
